,GenesInCluster,EntrezID,EnrichedGO
0,"['HTD2', 'AGE2', 'FLX1', 'PTC1', 'CSI1', 'RCE1']","query
HTD2    856464
AGE2    854767
FLX1    854672
PTC1    851558
CSI1    855040
RCE1    855317
Name: entrezgene, dtype: object","{'GO:0000746': (['855040', '855317', '851558'], 0.005026805246590407, 121), 'GO:0042221': (['855040', '855317', '854672', '851558'], 0.01084604392901815, 515), 'GO:0023052': (['855040', '851558'], 0.3332895943203582, 284), 'GO:0048308': (['851558'], 0.358349159073406, 60), 'GO:0005737': (['855317', '856464', '854672', '855040', '851558', '854767'], 0.358349159073406, 3926), 'GO:0051604': (['855317'], 0.358349159073406, 75), 'GO:0006470': (['851558'], 0.358349159073406, 91), 'GO:0016791': (['851558'], 0.358349159073406, 100), 'GO:0016829': (['856464'], 0.358349159073406, 107), 'GO:0008033': (['851558'], 0.358349159073406, 125), 'GO:0008380': (['851558'], 0.358349159073406, 144), 'GO:0032787': (['856464'], 0.358349159073406, 169), 'GO:0008233': (['855317'], 0.358349159073406, 174), 'GO:0031399': (['851558'], 0.358349159073406, 182), 'GO:0048193': (['854767'], 0.358349159073406, 194), 'GO:0070647': (['855040'], 0.358349159073406, 203), 'GO:0015931': (['854672'], 0.358349159073406, 208), 'GO:0012505': (['855317', '854767'], 0.358349159073406, 881), 'GO:0006468': (['851558'], 0.358349159073406, 232), 'GO:0005739': (['856464', '854672'], 0.358349159073406, 893), 'GO:0030234': (['854767'], 0.358349159073406, 253), 'GO:0005794': (['854767'], 0.358349159073406, 254), 'GO:0007005': (['851558'], 0.358349159073406, 259), 'GO:0016787': (['855317', '851558'], 0.38492271868917033, 1014), 'GO:0006629': (['856464'], 0.39997893720907346, 336), 'GO:0016491': (['856464'], 0.39997893720907346, 337), 'GO:0022857': (['854672'], 0.39997893720907346, 352), 'GO:0006811': (['854672'], 0.4081318483323843, 376), 'GO:0005740': (['854672'], 0.4161630810535654, 401), 'GO:0055085': (['854672'], 0.44570019411943723, 454), 'GO:0005783': (['855317'], 0.44570019411943723, 472), 'GO:0043167': (['851558', '854767'], 0.5344159159165601, 1564), 'GO:0016020': (['855317', '854672'], 0.6833508281190821, 1977), 'GO:0005634': (['855040', '851558'], 0.6870650344610655, 2044), 'GO:0005575': (['855317', '856464', '854672', '855040', '851558', '854767'], 0.8265673643954231, 6044), 'GO:0003674': (['855317', '856464', '854672', '855040', '851558', '854767'], 0.9961947087695777, 6265), 'GO:0008150': (['855317', '856464', '854672', '855040', '851558', '854767'], 0.9961947087695777, 6293)}"
1,"['WWM1', 'VPS72', 'HAC1', 'ERV46', 'LSB1', 'SKG3', 'ECI1']","query
WWM1     850538
VPS72    852096
HAC1     850513
ERV46    851256
LSB1     853037
SKG3     850884
ECI1     850990
Name: entrezgene, dtype: object","{'GO:0042393': (['852096'], 0.5422430769869708, 43), 'GO:0016853': (['850990'], 0.5422430769869708, 72), 'GO:0005777': (['850990'], 0.5422430769869708, 79), 'GO:0005634': (['850538', '852096', '850513', '853037'], 0.5422430769869708, 2044), 'GO:0005938': (['853037'], 0.5422430769869708, 166), 'GO:0032787': (['850990'], 0.5422430769869708, 169), 'GO:0003700': (['850513'], 0.5422430769869708, 187), 'GO:0048193': (['851256'], 0.5422430769869708, 194), 'GO:0005933': (['850884'], 0.5422430769869708, 203), 'GO:0030427': (['850884'], 0.5422430769869708, 209), 'GO:0005856': (['853037'], 0.5422430769869708, 236), 'GO:0007010': (['853037'], 0.5422430769869708, 254), 'GO:0005794': (['851256'], 0.5422430769869708, 254), 'GO:0031410': (['851256'], 0.5422430769869708, 261), 'GO:0023052': (['850513'], 0.5422430769869708, 284), 'GO:0051321': (['850513'], 0.5422430769869708, 304), 'GO:0033043': (['853037'], 0.5422430769869708, 305), 'GO:0006629': (['850990'], 0.5422430769869708, 336), 'GO:0006325': (['852096'], 0.5422430769869708, 340), 'GO:0005886': (['850884'], 0.5995810008084835, 421), 'GO:0005694': (['852096'], 0.5995810008084835, 469), 'GO:0005783': (['851256'], 0.5995810008084835, 472), 'GO:0006366': (['850513'], 0.5995810008084835, 500), 'GO:0042221': (['850513'], 0.5995810008084835, 515), 'GO:0005737': (['850884', '850990', '851256', '853037', '850538'], 0.6026921023029185, 3926), 'GO:0003677': (['850513'], 0.6026921023029185, 577), 'GO:0012505': (['851256'], 0.7510580047238687, 881), 'GO:0005739': (['850538'], 0.7510580047238687, 893), 'GO:0016020': (['850884', '851256'], 0.7716985773727181, 1977), 'GO:0005575': (['850884', '850990', '851256', '852096', '850513', '853037', '850538'], 0.8005050207598712, 6044), 'GO:0008150': (['850884', '850990', '851256', '852096', '850513', '853037', '850538'], 0.9994668013819148, 6293), 'GO:0003674': (['850884', '850990', '851256', '852096', '850513', '850538'], 0.9994668013819148, 6265)}"
2,"['FUN14', 'AYR1', 'YIM1', 'YGR111W', 'EMI1', 'YLR290C', 'CAT5', 'YNK1', 'AVT7', 'FSH2']","query
FUN14      851225
AYR1       854682
YIM1       855183
YGR111W    853008
EMI1       852125
YLR290C       NaN
CAT5       854292
YNK1       853798
AVT7       854721
FSH2       855262
Name: entrezgene, dtype: object","{'GO:0005740': (['851225', '853798', '854292'], 0.46809665244664617, 401), 'GO:0005739': (['851225', '853798', '855183', '854292'], 0.46809665244664617, 893), 'GO:0007005': (['851225', '852125'], 0.46809665244664617, 259), 'GO:0006865': (['854721'], 0.46809665244664617, 55), 'GO:0006974': (['853798', '855183'], 0.46809665244664617, 336), 'GO:0016491': (['854682', '854292'], 0.46809665244664617, 337), 'GO:0043934': (['852125'], 0.7134014556001266, 168), 'GO:0016301': (['853798'], 0.7134014556001266, 215), 'GO:0051186': (['854292'], 0.7134014556001266, 249), 'GO:0005773': (['854721'], 0.7134014556001266, 270), 'GO:0055086': (['853798'], 0.7134014556001266, 274), 'GO:0006281': (['853798'], 0.7134014556001266, 293), 'GO:0016020': (['851225', '854682', '854721', '854292'], 0.7134014556001266, 1977), 'GO:0051321': (['852125'], 0.7134014556001266, 304), 'GO:0006629': (['854682'], 0.7134014556001266, 336), 'GO:0022857': (['854721'], 0.7134014556001266, 352), 'GO:0005737': (['854292', '851225', '855262', '854721', '853798', '855183', '854682'], 0.7134014556001266, 3926), 'GO:0006811': (['854721'], 0.7134014556001266, 376), 'GO:0016787': (['854682', '855262'], 0.7134014556001266, 1014), 'GO:0005886': (['854721'], 0.7134014556001266, 421), 'GO:0055085': (['854721'], 0.7134014556001266, 454), 'GO:0005783': (['854682'], 0.7134014556001266, 472), 'GO:0042221': (['854721'], 0.7236966559246601, 515), 'GO:0043167': (['853798', '854292'], 0.8737043882579515, 1564), 'GO:0012505': (['854682'], 0.8737043882579515, 881), 'GO:0016740': (['853798'], 0.8737043882579515, 893), 'GO:0005575': (['854292', '851225', '852125', '854721', '855262', '853798', '855183', '854682'], 0.9999999693442747, 6044), 'GO:0003674': (['854292', '851225', '852125', '854721', '855262', '853798', '855183', '853008', '854682'], 0.9999999693442747, 6265), 'GO:0008150': (['854292', '851225', '852125', '854721', '855262', '853798', '855183', '854682'], 0.9999999693442747, 6293)}"
3,"['ADI1', 'LEU4', 'SKY1', 'SNC1', 'WTM2']","query
ADI1    855021
LEU4    855619
SKY1    855256
SNC1    851203
WTM2    854404
Name: entrezgene, dtype: object","{'GO:0006520': (['855619', '855021'], 0.3277580944724251, 244), 'GO:0006887': (['851203'], 0.3277580944724251, 52), 'GO:0061025': (['851203'], 0.3277580944724251, 79), 'GO:0016050': (['851203'], 0.3277580944724251, 83), 'GO:0051049': (['855256'], 0.3277580944724251, 86), 'GO:0048284': (['851203'], 0.3277580944724251, 95), 'GO:0006897': (['851203'], 0.3277580944724251, 113), 'GO:0005737': (['854404', '851203', '855021', '855256', '855619'], 0.3277580944724251, 3926), 'GO:0006873': (['855256'], 0.3277580944724251, 132), 'GO:0008380': (['855256'], 0.3277580944724251, 144), 'GO:0051169': (['855256'], 0.3277580944724251, 178), 'GO:0003700': (['854404'], 0.3277580944724251, 187), 'GO:0048193': (['851203'], 0.3277580944724251, 194), 'GO:0016740': (['855256', '855619'], 0.3277580944724251, 893), 'GO:0005933': (['851203'], 0.3277580944724251, 203), 'GO:0006397': (['855256'], 0.3277580944724251, 208), 'GO:0030427': (['851203'], 0.3277580944724251, 209), 'GO:0016301': (['855256'], 0.3277580944724251, 215), 'GO:0006468': (['855256'], 0.33325636024620864, 232), 'GO:0005794': (['851203'], 0.3360998112128837, 254), 'GO:0031410': (['851203'], 0.3360998112128837, 261), 'GO:0051321': (['854404'], 0.34488044200649975, 304), 'GO:0033043': (['854404'], 0.34488044200649975, 305), 'GO:0006974': (['854404'], 0.34488044200649975, 336), 'GO:0016491': (['855021'], 0.34488044200649975, 337), 'GO:0006325': (['854404'], 0.34488044200649975, 340), 'GO:0005886': (['851203'], 0.4008020230932931, 421), 'GO:0006366': (['854404'], 0.4430908710412722, 500), 'GO:0042221': (['855256'], 0.4430908710412722, 515), 'GO:0043167': (['855256', '855021'], 0.4486299058894389, 1564), 'GO:0005634': (['854404', '855021'], 0.5993016390234006, 2044), 'GO:0012505': (['851203'], 0.5993016390234006, 881), 'GO:0005739': (['855619'], 0.5993016390234006, 893), 'GO:0005575': (['854404', '851203', '855021', '855256', '855619'], 0.8864956703582029, 6044), 'GO:0016020': (['851203'], 0.8964916669914957, 1977), 'GO:0003674': (['854404', '851203', '855021', '855256', '855619'], 0.9968279169111759, 6265), 'GO:0008150': (['854404', '851203', '855021', '855256', '855619'], 0.9968279169111759, 6293)}"
4,"['RNH201', 'PUF4', 'NFI1', 'VPS35', 'SRC1']","query
RNH201    855652
PUF4      852870
NFI1      854327
VPS35     853287
SRC1      854974
Name: entrezgene, dtype: object","{'GO:0006401': (['852870', '855652'], 0.14879229570269525, 146), 'GO:0007059': (['854327', '854974'], 0.15216542159266544, 211), 'GO:0008565': (['853287'], 0.3175248376130531, 52), 'GO:0005694': (['854327', '854974'], 0.3175248376130531, 469), 'GO:0003729': (['852870'], 0.3175248376130531, 79), 'GO:0016197': (['853287'], 0.3175248376130531, 85), 'GO:0006417': (['852870'], 0.33624397011411883, 119), 'GO:0006260': (['855652'], 0.33624397011411883, 149), 'GO:0004518': (['855652'], 0.33624397011411883, 156), 'GO:0003723': (['852870', '855652'], 0.33624397011411883, 870), 'GO:0012505': (['853287', '854974'], 0.33624397011411883, 881), 'GO:0018193': (['854327'], 0.33624397011411883, 201), 'GO:0070647': (['854327'], 0.33624397011411883, 203), 'GO:0048285': (['854974'], 0.33624397011411883, 251), 'GO:0031410': (['853287'], 0.33624397011411883, 261), 'GO:0005773': (['853287'], 0.33624397011411883, 270), 'GO:0005634': (['854327', '854974', '855652'], 0.33624397011411883, 2044), 'GO:0033043': (['852870'], 0.35140520712554163, 305), 'GO:0000278': (['854974'], 0.35140520712554163, 338), 'GO:0006325': (['852870'], 0.35140520712554163, 340), 'GO:0043167': (['854327', '855652'], 0.5023269216522676, 1564), 'GO:0003677': (['854327'], 0.5029389757467139, 577), 'GO:0016020': (['853287', '854974'], 0.6308153511006684, 1977), 'GO:0016740': (['854327'], 0.6458689961096784, 893), 'GO:0016787': (['855652'], 0.6778384482602937, 1014), 'GO:0005737': (['853287', '855652'], 0.996827916911176, 3926), 'GO:0003674': (['852870', '854327', '854974', '855652', '853287'], 0.996827916911176, 6265), 'GO:0005575': (['853287', '854327', '854974', '855652'], 0.996827916911176, 6044), 'GO:0008150': (['852870', '854327', '854974', '855652', '853287'], 0.996827916911176, 6293)}"
5,"['YAT1', 'CTK3', 'RRT5', 'NIT2', 'YDR476C', 'SNF11', 'YNR040W']","query
YAT1       851285
CTK3       854928
RRT5       850591
NIT2       853316
YDR476C    852087
SNF11      851645
YNR040W    855776
Name: entrezgene, dtype: object","{'GO:0006360': (['854928'], 0.6640903286151414, 68), 'GO:0006354': (['854928'], 0.6640903286151414, 97), 'GO:0006417': (['854928'], 0.6640903286151414, 119), 'GO:0032787': (['851285'], 0.6640903286151414, 169), 'GO:0006397': (['854928'], 0.6640903286151414, 208), 'GO:0006468': (['854928'], 0.6640903286151414, 232), 'GO:0005739': (['853316', '851285'], 0.6640903286151414, 893), 'GO:0016887': (['851645'], 0.6640903286151414, 279), 'GO:0005730': (['854928'], 0.6640903286151414, 282), 'GO:0016787': (['851645', '853316'], 0.6640903286151414, 1014), 'GO:0006974': (['854928'], 0.6640903286151414, 336), 'GO:0006629': (['851285'], 0.6640903286151414, 336), 'GO:0005740': (['851285'], 0.6868969302121349, 401), 'GO:0005694': (['851645'], 0.6868969302121349, 469), 'GO:0005783': (['852087'], 0.6868969302121349, 472), 'GO:0006366': (['851645'], 0.6868969302121349, 500), 'GO:0005737': (['854928', '851645', '853316', '852087', '851285'], 0.693979518467615, 3926), 'GO:0003723': (['850591'], 0.8214696926667313, 870), 'GO:0012505': (['852087'], 0.8214696926667313, 881), 'GO:0016740': (['851285'], 0.8214696926667313, 893), 'GO:0005634': (['851645', '854928'], 0.8573885425188573, 2044), 'GO:0016020': (['851285'], 0.9999954763830717, 1977), 'GO:0005575': (['854928', '851645', '853316', '852087', '851285'], 0.9999954763830717, 6044), 'GO:0008150': (['854928', '851645', '853316', '852087', '850591', '851285'], 0.9999954763830717, 6293), 'GO:0003674': (['851645', '853316', '852087', '851285', '850591'], 0.9999954763830717, 6265)}"
6,"['MSN1', 'ADH2', 'SKI2', 'YMR1', 'ALT2', 'HAP5']","query
MSN1    854033
ADH2    855349
SKI2    851114
YMR1    853574
ALT2    851690
HAP5    854540
Name: entrezgene, dtype: object","{'GO:0003677': (['854540', '854033', '851114'], 0.244212608776051, 577), 'GO:0006520': (['855349', '851690'], 0.244212608776051, 244), 'GO:0001403': (['854033'], 0.244212608776051, 61), 'GO:0009408': (['854033'], 0.244212608776051, 74), 'GO:0003729': (['853574'], 0.244212608776051, 79), 'GO:0007124': (['854033'], 0.244212608776051, 79), 'GO:0006366': (['854540', '854033'], 0.244212608776051, 500), 'GO:0006970': (['854033'], 0.244212608776051, 84), 'GO:0042221': (['854540', '854033'], 0.244212608776051, 515), 'GO:0006470': (['853574'], 0.244212608776051, 91), 'GO:0045333': (['854540'], 0.244212608776051, 100), 'GO:0016791': (['853574'], 0.244212608776051, 100), 'GO:0004386': (['851114'], 0.24484165118370335, 109), 'GO:0006417': (['851114'], 0.24723075704166345, 119), 'GO:0006401': (['851114'], 0.2800965071871938, 146), 'GO:0003700': (['854540'], 0.3141022784808715, 187), 'GO:0043167': (['851114', '855349', '851690'], 0.3141022784808715, 1564), 'GO:0006091': (['854540'], 0.3230589183465092, 207), 'GO:0003723': (['851114', '853574'], 0.33020455537604576, 870), 'GO:0051186': (['855349'], 0.34075801301756864, 249), 'GO:0005975': (['854033'], 0.34075801301756864, 266), 'GO:0055086': (['855349'], 0.34075801301756864, 274), 'GO:0016787': (['851114', '853574'], 0.34738031486872245, 1014), 'GO:0006629': (['853574'], 0.359793348203321, 336), 'GO:0016491': (['855349'], 0.359793348203321, 337), 'GO:0005634': (['854540', '854033', '851690'], 0.37228416427377825, 2044), 'GO:0005694': (['854540'], 0.4402794587046312, 469), 'GO:0005737': (['851114', '855349', '853574', '851690'], 0.6626479948498789, 3926), 'GO:0016740': (['851690'], 0.6626479948498789, 893), 'GO:0005575': (['854540', '854033', '851690', '855349', '851114', '853574'], 0.8340139172278143, 6044), 'GO:0003674': (['854540', '854033', '851690', '855349', '851114', '853574'], 0.9961947087695777, 6265), 'GO:0008150': (['854540', '854033', '851690', '855349', '851114', '853574'], 0.9961947087695777, 6293)}"
7,"['YMR187C', 'AEP2']","query
YMR187C    855225
AEP2       855325
Name: entrezgene, dtype: object","{'GO:0006413': (['855325'], 0.17548984471457843, 68), 'GO:0006417': (['855325'], 0.17548984471457843, 119), 'GO:0032543': (['855325'], 0.17548984471457843, 168), 'GO:0003723': (['855325'], 0.5270320753126265, 870), 'GO:0005739': (['855325'], 0.5270320753126265, 893), 'GO:0016020': (['855225'], 0.8822463081438917, 1977), 'GO:0005737': (['855325'], 0.9987299572641717, 3926), 'GO:0005575': (['855325', '855225'], 0.9987299572641717, 6044), 'GO:0003674': (['855325', '855225'], 0.9987299572641717, 6265), 'GO:0008150': (['855325', '855225'], 0.9987299572641717, 6293)}"
8,"['PRM8', 'MST27', 'UIP3', 'MNT4', 'RPO41', 'BUD7']","query
PRM8     852828
MST27    852830
UIP3     851279
MNT4     855796
RPO41    850507
BUD7     854475
Name: entrezgene, dtype: object","{'GO:0012505': (['852830', '851279', '854475', '852828'], 0.06406236049600195, 881), 'GO:0005886': (['852830', '851279', '852828'], 0.06406236049600195, 421), 'GO:0016020': (['855796', '851279', '854475', '852830', '852828'], 0.11261790477199403, 1977), 'GO:0005794': (['852830', '854475'], 0.11525535672600784, 254), 'GO:0031410': (['852830', '854475'], 0.11525535672600784, 261), 'GO:0006486': (['855796'], 0.22245985848952404, 72), 'GO:0005783': (['852830', '852828'], 0.22245985848952404, 472), 'GO:0016050': (['852830'], 0.22245985848952404, 83), 'GO:0000910': (['854475'], 0.22245985848952404, 87), 'GO:0016757': (['855796'], 0.2355379071263583, 103), 'GO:0016779': (['850507'], 0.26933365431056394, 131), 'GO:0006260': (['850507'], 0.27882141096613394, 149), 'GO:0048193': (['854475'], 0.32920024389747227, 194), 'GO:0016740': (['855796', '850507'], 0.3355123470521007, 893), 'GO:0071554': (['854475'], 0.3355123470521007, 245), 'GO:0007005': (['850507'], 0.3355123470521007, 259), 'GO:0005975': (['854475'], 0.3355123470521007, 266), 'GO:0000278': (['854475'], 0.3914055362872493, 338), 'GO:0003677': (['850507'], 0.576592090693711, 577), 'GO:0005737': (['852830', '854475', '852828', '850507'], 0.7149104111103604, 3926), 'GO:0005739': (['850507'], 0.7149104111103604, 893), 'GO:0005575': (['855796', '851279', '854475', '850507', '852830', '852828'], 0.8885091447739498, 6044), 'GO:0005634': (['851279'], 0.9837796611807978, 2044), 'GO:0003674': (['855796', '851279', '854475', '850507', '852830', '852828'], 0.9961947087695777, 6265), 'GO:0008150': (['855796', '851279', '854475', '850507', '852830', '852828'], 0.9961947087695777, 6293)}"
9,"['RUD3', 'PRM9', 'ATG5', 'TMN2', 'YLH47', 'GAL80', 'CKB1', 'HEF3']","query
RUD3     854391
PRM9     851282
ATG5     855954
TMN2     851685
YLH47    856243
GAL80    854954
CKB1     852865
HEF3     855718
Name: entrezgene, dtype: object","{'GO:0030234': (['855954', '852865', '854954'], 0.13410913039086414, 253), 'GO:0007005': (['856243', '855954'], 0.33441107955056315, 259), 'GO:0005773': (['851685', '855954'], 0.33441107955056315, 270), 'GO:0006383': (['852865'], 0.33441107955056315, 41), 'GO:0006497': (['855954'], 0.33441107955056315, 45), 'GO:0008135': (['855718'], 0.33441107955056315, 55), 'GO:0016020': (['855954', '856243', '851282', '854391', '851685'], 0.33441107955056315, 1977), 'GO:0001403': (['851685'], 0.33441107955056315, 61), 'GO:0006811': (['851685', '856243'], 0.33441107955056315, 376), 'GO:0006360': (['852865'], 0.33441107955056315, 68), 'GO:0008134': (['854954'], 0.33441107955056315, 70), 'GO:0007124': (['851685'], 0.3442404285542024, 79), 'GO:0005737': (['855954', '856243', '851282', '854391', '855718', '851685', '854954'], 0.44038173909965794, 3926), 'GO:0006873': (['851685'], 0.478828546093388, 132), 'GO:0019899': (['854391'], 0.5151299039927352, 154), 'GO:0031399': (['852865'], 0.5460555067442372, 182), 'GO:0048193': (['854391'], 0.5460555067442372, 194), 'GO:0018193': (['852865'], 0.5460555067442372, 201), 'GO:0006468': (['852865'], 0.5466808911273652, 232), 'GO:0005794': (['854391'], 0.5466808911273652, 254), 'GO:0005975': (['854954'], 0.5466808911273652, 266), 'GO:0016887': (['855718'], 0.5466808911273652, 279), 'GO:0005730': (['852865'], 0.5466808911273652, 282), 'GO:0012505': (['851282', '854391'], 0.5466808911273652, 881), 'GO:0005840': (['855718'], 0.5466808911273652, 300), 'GO:0006414': (['855718'], 0.5466808911273652, 334), 'GO:0006974': (['852865'], 0.5466808911273652, 336), 'GO:0016491': (['854954'], 0.5466808911273652, 337), 'GO:0016787': (['855718', '855954'], 0.5599579446381868, 1014), 'GO:0005740': (['856243'], 0.5866179440748909, 401), 'GO:0005886': (['851282'], 0.5896687166359161, 421), 'GO:0055085': (['856243'], 0.6043919765051358, 454), 'GO:0005783': (['851282'], 0.6043919765051358, 472), 'GO:0006366': (['854954'], 0.6122571448690871, 500), 'GO:0003677': (['854954'], 0.6590643910001179, 577), 'GO:0003723': (['855718'], 0.7942001183993463, 870), 'GO:0005739': (['856243'], 0.7942001183993463, 893), 'GO:0016740': (['855954'], 0.7942001183993463, 893), 'GO:0005575': (['855954', '852865', '856243', '851282', '854391', '855718', '851685', '854954'], 0.7942001183993463, 6044), 'GO:0005634': (['852865', '854954'], 0.8494830362919137, 2044), 'GO:0043167': (['855718'], 0.9419470784469072, 1564), 'GO:0003674': (['855954', '852865', '856243', '851282', '854391', '855718', '851685', '854954'], 0.9829201118643897, 6265), 'GO:0008150': (['855954', '852865', '856243', '851282', '854391', '855718', '851685', '854954'], 0.9949294989162343, 6293)}"
