,ClusterGenes,HitGenes,GO_term,depth,p_value
1,"['HTD2', 'AGE2', 'FLX1', 'PTC1', 'CSI1', 'RCE1']","['855040', '855317', '851558']",GO:0000746,4,0.005026805
2,"['HTD2', 'AGE2', 'FLX1', 'PTC1', 'CSI1', 'RCE1']","['855040', '855317', '854672', '851558']",GO:0042221,3,0.010846044
3,"['PRM8', 'MST27', 'UIP3', 'MNT4', 'RPO41', 'BUD7']","['852830', '851279', '854475', '852828']",GO:0012505,3,0.06406236
4,"['PRM8', 'MST27', 'UIP3', 'MNT4', 'RPO41', 'BUD7']","['852830', '851279', '852828']",GO:0005886,3,0.06406236
5,"['LDB19', 'MSS11', 'ISW2', 'NPR3']","['855200', '856362']",GO:0007124,4,0.031573709
6,"['MPD1', 'ZDS2', 'ERV29', 'PUS6', 'LPP1', 'SNQ2']","['853079', '854462']",GO:0016853,3,0.068472775
7,"['DLT1', 'MDL1', 'PEX2', 'CHS6', 'YAP1802']","['855156', '853157', '853219', '853346', '850885']",GO:0016020,2,0.091513704
8,"['TCB3', 'TGL5', 'BLM10', 'PIP2', 'YLR455W', 'GVP36']","['854545', '854903', '854248']",GO:0006629,4,0.086047043
9,"['NCE102', 'PMP3', 'PNS1', 'TIM21']","['851869', '854332', '856272']",GO:0005886,3,0.0238442
10,"['MF(ALPHA)1', 'ICE2', 'YNL108C', 'HMG2', 'MF(ALPHA)2', 'YOP1']","['856140', '854718']",GO:0048308,5,0.03584539
11,"['MF(ALPHA)1', 'ICE2', 'YNL108C', 'HMG2', 'MF(ALPHA)2', 'YOP1']","['852791', '855914']",GO:0005576,2,0.047347218
12,"['MF(ALPHA)1', 'ICE2', 'YNL108C', 'HMG2', 'MF(ALPHA)2', 'YOP1']","['852791', '855914']",GO:0000746,4,0.047347218
13,"['MF(ALPHA)1', 'ICE2', 'YNL108C', 'HMG2', 'MF(ALPHA)2', 'YOP1']","['851171', '856140', '854718']",GO:0005783,4,0.047828221
14,"['MEP3', 'YPT52', 'IRC8', 'YPR071W', 'STP2']","['853884', '856397', '856260']",GO:0005886,3,0.041181167
15,"['MEP3', 'YPT52', 'IRC8', 'YPR071W', 'STP2']","['856397', '856260', '853396', '856184', '853884']",GO:0016020,2,0.041181167
16,"['GAP1', 'DAL5', 'CSR1', 'DAL2', 'MEP2', 'YOR111W', 'EKI1', 'MGR3', 'VBA1', 'DAL1', 'CPS1', 'DAL3']","['851096', '853912', '855113', '855580', '853617']",GO:0006811,5,0.012638044
17,"['GAP1', 'DAL5', 'CSR1', 'DAL2', 'MEP2', 'YOR111W', 'EKI1', 'MGR3', 'VBA1', 'DAL1', 'CPS1', 'DAL3']","['853912', '855580', '853617', '855113']",GO:0022857,3,0.047503284
18,"['GAP1', 'DAL5', 'CSR1', 'DAL2', 'MEP2', 'YOR111W', 'EKI1', 'MGR3', 'VBA1', 'DAL1', 'CPS1', 'DAL3']","['853912', '855113']",GO:0006865,6,0.047503284
19,"['GAP1', 'DAL5', 'CSR1', 'DAL2', 'MEP2', 'YOR111W', 'EKI1', 'MGR3', 'VBA1', 'DAL1', 'CPS1', 'DAL3']","['853912', '855580', '853617', '855113']",GO:0055085,5,0.06264628
20,"['GAP1', 'DAL5', 'CSR1', 'DAL2', 'MEP2', 'YOR111W', 'EKI1', 'MGR3', 'VBA1', 'DAL1', 'CPS1', 'DAL3']","['853912', '853267', '855113']",GO:0005773,5,0.06741625
21,"['GAP1', 'DAL5', 'CSR1', 'DAL2', 'MEP2', 'YOR111W', 'EKI1', 'MGR3', 'VBA1', 'DAL1', 'CPS1', 'DAL3']","['854847', '854850', '854845']",GO:0055086,4,0.06741625
22,"['TAL1', 'DUG1', 'TSA1', 'ACB1', 'LAT1']","['855653', '850605', '851068']",GO:0051186,4,0.01455508
23,"['TAL1', 'DUG1', 'TSA1', 'ACB1', 'LAT1']","['855653', '852925']",GO:0032787,7,0.085299747
24,"['PMT3', 'LCB4', 'DIA2', 'YIR035C', 'KTR1', 'PMT5']","['854266', '854499', '851464']",GO:0006486,5,0.000815774
25,"['PMT3', 'LCB4', 'DIA2', 'YIR035C', 'KTR1', 'PMT5']","['854266', '854499', '851464']",GO:0016757,4,0.001180864
